,question,answer,model_answer,confidence_score,start_index,end_index,comparison
176,How many rounds of interviews are there for MSc Finance?,"Applicants who meet the entry requirements, provide an appropriate professional statement, and pass the online maths test will be invited for an online interview via WePow .",Applicants,0.00011792146688094363,0,10,False
177,Is there any fundings or scholarship available forBusiness Analytics programme?,Scholarships are available through UCL for all years of study.,Scholarships are available through UCL for all years of study.,0.995753288269043,0,62,True
178,What should be included in my personal statement for Master of BA?,"Why you want to study Business Analytics at a postgraduate level; 
What particularly attracts you to this programme and to UCL; 
How your academic and professional background meets the demands of this challenging programme; 
What your post-degree aspirations are. ","the demands of this challenging programme; 
What your post-degree aspirations are.",1.403733934646212e-10,181,263,False
179,What's the need of having a CAS number for the master program in Finance?,please visit UCL’s offer holders FAQ’s page and see the section titled ‘immigration’,please visit UCL’,0.001598156406544149,100,117,False
180,What English examination do I need to take in order to apply for MSc BA?,please note that UCL’s English language requirements must be met,please note that UCL’s English language requirements must be met,0.6255382895469666,362,426,True
181,What is the mode of study for BA?,full-time,full-time,0.9314307570457458,47,56,True
182,"For the Finance master's application, can I not submit a professional statement?",A professional statement is a key component of the application process and must accompany the initial application.,A,0.00024215523444581777,0,1,False
183,"For the Finance master, how many modules do I need to take?","All participants study four core modules in Term One, providing a robust quantitative underpinning in key areas of finance. In Term Two, a further two core modules are studied, again reflecting a quantitative thrust. An elective portfolio is offered, with four elective modules which can be undertaken in Term Two and/or Term Three. The elective modules enable participants to develop their interests in a number of specialist areas. Additionally, in Term Three and during the summer, participants engage in the design, execution and delivery of a finance research project which will be supported by a compulsory 10-hour research methods module.",All,0.00010827322694240138,0,3,False
184,"For MSc Finance, how is the interview conducted?","Applicants who meet the entry requirements, provide an appropriate professional statement, and pass the online maths test will be invited for an online interview via WePow .",Applicants,0.0001295852125622332,0,10,False
185,"For MSc Finance, who can I contact for further information?",the Programme Administrator via email at: mgmt-finance@ucl.ac.uk,the,0.0013219272950664163,76,79,False
186,What kind of documents do I need to submit in the application of BA programme?,"You will need to include a degree transcript in one of the suggested disciplines, two references, and a personal statement. Overseas applicants should also supply evidence of their English language ability usually via an IELTS test.",You,0.00015638631884939969,0,3,False
187,"For MSc Finance, who can I contact for more details?",the Programme Administrator via email at: mgmt-finance@ucl.ac.uk,the,0.0013288925401866436,76,79,False
188,"For MSc Finance, what is the date of deadline for applying?",31 March 2022,31 March 2022,0.9901147484779358,160,173,True
189,Where should I live if I am doing the analytics course?,Please see student accommodation for details of accommodation available at UCL.,Please see student accommodation for details of accommodation available at UCL.,0.9993912577629089,0,79,True
190,Is there a part time option for the business analytics master?,"No, unfortunately this programme is not offered as a part-time study.","No, unfortunately this programme is not offered as a part-time study.",0.9994065165519714,0,69,True
191,Do I have to be very quantitative for MSc Finance?,"we stress to our applicants that this programme is highly mathematical and quantitative, so you should be prepared to be pushed in these areas.",we,0.0001853809371823445,84,86,False
192,"For MSc Finance, what is the tuition fee for local student?","UK/EU/Overseas - £38,000","UK/EU/Overseas - £38,000",0.9812242388725281,63,87,True
193,Can you provide more details regarding my potential study and coronavirus for MSc Finance?,please visit UCL's prospective students Coronavirus (COVID-19) information pages,pages,0.000616632285527885,388,393,False
194,What programming langauge can I expect to learn in the master course in BA?,"The core elements of the programme are delivered in Python. In other modules we also use; R, Stata and JavaScript but Python is the main language used.",.,0.0001493209711043164,150,151,False
195,"For the Finance master, who should I contact for further details regarding the application process?",the Programme Administrator via email at: mgmt-finance@ucl.ac.uk,the,0.0007290798821486533,76,79,False
196,"For MSc Finance, how much is the tuition fee for UK students?","UK/EU/Overseas - £38,000","UK/EU/Overseas - £38,000",0.9914479851722717,63,87,True
197,Who should I contact for further information for MSc Finance?,the Programme Administrator via email at: mgmt-finance@ucl.ac.uk,the,0.0008623304311186075,76,79,False
198,"For the Finance master, can I undertake the course on a part-time basis?",This programme is full-time for one year,This programme is full-time for one year,0.9975007176399231,0,40,True
199,What is the minimum score do I need to get for Ielts for MSc Business Analytics?,"an overall grade of 7.0, with a minimum of 6.5 in each of the subtests",an,0.00016572912863921374,1113,1115,False
200,Is there a contact email for potential canditates to request more information regrading the ba master course?,the Programme Administrator via: mgmt-ba@ucl.ac.uk,the,0.0007747574709355831,76,79,False
201,Does my bachelor degree has to be highly numerical to be considered for MSc Finance?,"we stress to our applicants that this programme is highly mathematical and quantitative, so you should be prepared to be pushed in these areas.",we,0.0008369016577489674,84,86,False
202,What is the structure of the program for the master program in Finance?,"All participants study four core modules in Term One, providing a robust quantitative underpinning in key areas of finance. In Term Two, a further two core modules are studied, again reflecting a quantitative thrust. An elective portfolio is offered, with four elective modules which can be undertaken in Term Two and/or Term Three. The elective modules enable participants to develop their interests in a number of specialist areas. Additionally, in Term Three and during the summer, participants engage in the design, execution and delivery of a finance research project which will be supported by a compulsory 10-hour research methods module",.,0.0007034838199615479,644,645,False
203,"For the master program in Finance, what is the tuition fee for international student?","UK/EU/Overseas - £38,000","UK/EU/Overseas - £38,000",0.994280993938446,63,87,True
204,"For the Finance master, is the requirement for GMAR or GRE exam?",We do not require GMAT/GRE scores,We do not require GMAT/GRE scores,0.9991191625595093,378,411,True
